loop	threshold	anger	empty_cells
660	-130	560	19
661	-130	561	19
662	-130	562	20
663	-130	558	19
664	-130	559	19
665	-130	560	19
666	-130	561	19
667	-130	562	19
668	-130	563	19
669	-130	559	18
670	-130	560	18
671	-130	561	18
672	-130	562	18
673	-130	563	19
674	-130	559	18
675	-130	560	19
676	-130	561	19
677	-130	562	19
678	-130	563	19
679	-130	564	19
680	-130	565	19
681	-130	566	19
682	-130	567	19
683	-130	568	19
684	-130	569	19
685	-130	570	19
686	-130	571	19
687	-130	572	19
688	-130	573	19
689	-130	574	19
690	-130	575	19
691	-130	576	19
692	-130	577	19
693	-130	578	19
694	-130	579	19
695	-130	580	19
696	-130	581	19
697	-130	582	19
698	-130	583	19
699	-130	579	17
700	-130	580	17
701	-130	581	17
702	-130	582	17
703	-130	583	17
704	-130	584	19
705	-130	585	19
706	-130	586	19
707	-130	587	19
708	-130	588	19
709	-130	589	19
710	-130	590	19
711	-130	591	19
712	-130	592	20
713	-130	593	20
714	-130	594	20
715	-130	590	19
716	-130	591	19
717	-130	592	19
718	-130	593	19
719	-130	594	19
720	-130	595	19
721	-130	596	19
722	-130	597	19
723	-130	598	19
724	-130	599	19
725	-130	600	19
726	-130	601	21
727	-130	602	21
728	-130	598	20
729	-130	599	20
730	-130	595	19
731	-130	596	19
732	-130	597	19
733	-130	598	19
734	-130	599	19
735	-130	600	19
736	-130	601	21
737	-130	597	20
738	-130	593	19
739	-130	594	19
740	-130	595	19
741	-130	596	19
742	-130	597	19
743	-130	598	19
744	-130	599	19
745	-130	600	19
746	-130	601	20
747	-130	602	20
748	-130	603	20
749	-130	604	20
750	-130	605	20
751	-130	606	20
752	-130	607	20
753	-130	608	20
754	-130	609	21
755	-130	610	21
756	-130	611	21
757	-130	612	21
758	-130	613	21
759	-130	614	21
760	-130	615	21
761	-130	616	21
762	-130	612	20
763	-130	613	20
764	-130	614	20
765	-130	615	20
766	-130	616	20
767	-130	617	20
768	-130	618	20
769	-130	619	20
770	-130	620	20
771	-130	621	20
772	-130	622	20
773	-130	623	21
774	-130	624	21
775	-130	625	21
776	-130	626	21
777	-130	622	20
778	-130	623	20
779	-130	624	20
780	-130	625	20
781	-130	626	20
782	-130	627	20
783	-130	628	20
784	-130	629	20
785	-130	630	21
786	-130	631	21
787	-130	632	21
788	-130	633	21
789	-130	634	21
790	-130	635	21
791	-130	636	21
792	-130	637	21
793	-130	638	21
794	-130	639	21
795	-130	640	21
796	-130	641	21
797	-130	637	20
798	-130	638	20
799	-130	639	20
800	-180	640	20
801	-180	641	20
802	-180	642	20
803	-180	643	20
804	-180	644	20
805	-180	645	20
806	-180	646	20
807	-180	647	20
808	-180	648	20
809	-180	649	20
810	-180	650	20
811	-180	651	21
812	-180	652	21
813	-180	653	22
814	-180	654	22
815	-180	650	21
816	-180	651	21
817	-180	652	21
818	-180	653	21
819	-180	654	21
820	-180	655	21
821	-180	656	21
822	-180	657	21
823	-180	658	21
824	-180	659	21
825	-180	660	21
826	-180	661	22
827	-180	662	23
828	-180	658	22
829	-180	654	21
830	-180	655	21
831	-180	651	20
832	-180	652	20
833	-180	653	22
834	-180	654	22
835	-180	655	23
836	-180	651	22
837	-180	647	20
838	-180	643	19
839	-180	644	19
840	-180	645	19
841	-180	646	19
842	-180	647	19
843	-180	648	19
844	-180	649	19
845	-180	650	19
846	-180	651	20
847	-180	652	20
848	-180	653	20
849	-180	654	21
850	-180	655	21
851	-180	656	22
852	-180	657	22
853	-180	658	22
854	-180	659	22
855	-180	660	22
856	-180	661	22
857	-180	657	21
858	-180	658	21
859	-180	659	21
860	-180	660	21
861	-180	661	21
862	-180	662	21
863	-180	663	21
864	-180	664	22
865	-180	665	22
866	-180	666	22
867	-180	667	22
868	-180	668	22
869	-180	669	22
870	-180	665	21
871	-180	666	21
872	-180	667	21
873	-180	668	21
874	-180	669	21
875	-180	670	21
876	-180	671	21
877	-180	672	21
878	-180	673	21
879	-180	674	21
880	-180	675	21
881	-180	676	21
882	-180	677	21
883	-180	678	21
884	-180	679	21
885	-180	680	22
886	-180	681	23
887	-180	677	22
888	-180	673	20
889	-180	674	20
890	-180	675	20
891	-180	676	20
892	-180	677	20
893	-180	678	20
894	-180	679	20
895	-180	680	20
896	-180	681	20
897	-180	682	21
898	-180	683	21
899	-180	684	21
900	-180	685	21
901	-180	686	21
902	-180	682	20
903	-180	683	20
904	-180	684	20
905	-180	685	20
906	-180	686	20
907	-180	687	20
908	-180	688	20
909	-180	689	20
910	-180	690	20
911	-180	691	20
912	-180	692	20
913	-180	693	20
914	-180	694	20
915	-180	695	20
916	-180	696	20
917	-180	697	20
918	-180	698	20
919	-180	699	20
920	-180	700	20
921	-180	701	21
922	-180	702	21
923	-180	703	21
924	-180	704	21
925	-180	705	22
926	-180	706	22
927	-180	702	21
928	-180	703	21
929	-180	704	21
930	-180	705	21
931	-180	706	21
932	-180	707	21
933	-180	708	21
934	-180	709	21
935	-180	710	21
936	-180	711	21
937	-180	712	21
938	-180	713	21
939	-180	714	21
940	-180	715	21
941	-180	716	21
942	-180	717	21
943	-180	718	21
944	-180	719	21
945	-180	720	21
946	-180	721	21
947	-180	722	21
948	-180	723	21
949	-180	724	21
950	-180	725	21
